train_loss,val_loss,train_acc,val_acc
1.5386023311211727,1.1943329652902581,0.5403733693207378,0.7129337539432177
1.2863743085878365,1.1370407662557127,0.6667791273054431,0.7344900105152471
1.2444963065879708,1.1233668246479818,0.6905083220872695,0.7539432176656151
1.208539491347563,1.0918892705352776,0.7136752136752137,0.767087276550999
1.1983585561978833,1.1018614445575028,0.7205353126405758,0.76130389064143
1.1975236801858749,1.0761921753015928,0.7216599190283401,0.7776025236593059
1.1663116870889565,1.0489481886227925,0.7345928924876294,0.788117770767613
1.1637859356280011,1.065442892153807,0.7296446243814665,0.7660357518401683
1.1532938610150694,1.033836011317501,0.7441520467836258,0.7965299684542586
1.1389086631520933,1.053747096272297,0.7457264957264957,0.7933753943217665
1.1311811363702415,1.0435930959308435,0.7508996851102114,0.7981072555205047
1.1243214753636144,1.0546750371137754,0.7569725596041386,0.7860147213459516
1.123694453269471,1.0190498692881547,0.7613585245164193,0.805993690851735
1.1156263358411733,1.0580439490474738,0.7643949617633828,0.7849631966351209
1.100511025427914,1.0122701338914415,0.7715924426450742,0.8117770767613038
1.0983165500939456,1.0283178316055162,0.7740665766981557,0.807570977917981
1.0952971591318827,1.0135359841190301,0.777552856500225,0.8144058885383806
1.090623007236812,1.003981715309131,0.7760908681961314,0.8107255520504731
1.0812054230616643,0.9948667264636508,0.7856500224921278,0.8180862250262881
1.0775151143350743,1.0043155809807602,0.7831758884390464,0.8212407991587802
