epoch,train_loss,train_acc,val_loss,val_acc
1,0.8197628024243258,0.7047908232118758,0.7303522943071512,0.7602523659305994
2,0.7256441837862918,0.7920602789023842,0.6532745963015391,0.8380651945320715
3,0.7065289449273494,0.8028565002249213,0.6490457842026599,0.8475289169295478
4,0.6951775364762107,0.8114035087719298,0.6331585648809447,0.8517350157728707
5,0.68208063112633,0.8264732343679712,0.6442224662888063,0.8401682439537329
6,0.6698909422539399,0.8310841205578048,0.6236857014750331,0.8596214511041009
7,0.6637155629469905,0.8390688259109311,0.6096107251511262,0.8680336487907466
8,0.6621307357978135,0.8418803418803419,0.6090500721420024,0.8675078864353313
9,0.6618051780165717,0.840868196131354,0.6033002076715576,0.8732912723449001
10,0.6585779446124816,0.8434547908232118,0.610062990717582,0.8727655099894848
11,0.6518283397616216,0.8502024291497976,0.590818011296911,0.8853838065194533
12,0.6518147481329742,0.8506522717049033,0.5947713903322832,0.886435331230284
13,0.6404703428119998,0.8617858749437697,0.6029378610078469,0.8774973711882229
14,0.6374402746015232,0.8683085919928025,0.6024947020408358,0.8796004206098843
15,0.6345485775684163,0.8693207377417904,0.579742180812246,0.8958990536277602
16,0.6321709182312829,0.8669590643274854,0.5840972942759437,0.8901156677181914
17,0.6327279266129192,0.8705578047683311,0.5837046142381573,0.900105152471083
18,0.6278055055260497,0.8732568600989654,0.5885695103716524,0.8980021030494216
19,0.6288110746009576,0.8733693207377418,0.5797580239900655,0.8990536277602523
20,0.6126102994971591,0.8846153846153846,0.5687738006423324,0.9111461619348055
