train_loss,val_loss,train_acc,val_acc
1.9734686633460543,1.6847805629643984,0.3469410706252812,0.6203995793901157
1.5760625543971882,1.3883256580049934,0.5805218173639226,0.688222923238696
1.3850372881166473,1.2572776129318461,0.6475483580746739,0.7139852786540484
1.2861542930701697,1.1840215609276707,0.6775753486279802,0.7318611987381703
1.2143855720181964,1.1448177742281171,0.7144624381466487,0.7513144058885384
1.1764291222439764,1.117979986246452,0.7222222222222222,0.76130389064143
1.149945085830534,1.0936655682970924,0.7449392712550608,0.7660357518401683
1.1274659874950825,1.07527940694466,0.7532613585245165,0.7765509989484752
1.104704036511015,1.0659456552015119,0.7675438596491229,0.7839116719242902
1.0816569714947322,1.0566789593104935,0.7767656320287899,0.7839116719242902
1.0707746798853803,1.0443829847685797,0.7857624831309042,0.8002103049421662
1.0664338722885378,1.0328868486527765,0.7880116959064328,0.805993690851735
1.0520106748155362,1.0285845075495987,0.7911605937921727,0.797055730809674
1.0441890628392558,1.0224908456190653,0.7935222672064778,0.8012618296529969
1.0304830950549526,1.012336825096018,0.8090418353576249,0.8070452155625657
1.0210021336873372,1.007886367328034,0.8105038236617185,0.8149316508937959
1.0131421246294818,1.0031702789849162,0.8150022492127755,0.8065194532071503
1.0102084824162672,0.998746785894428,0.8168016194331984,0.8112513144058885
0.9999371408558192,0.9983278559961529,0.8192757534862798,0.8086225026288117
0.9952721390378835,0.990688396741163,0.823774179037337,0.8128286014721345
